perfume_id,brand,name,img_url,old_price,new_price,price_THB,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,,,,,THB,,,Men_typ,Women_typ,Unisex_typ,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,S.T.Dupont,Passenger,"https://m.media-amazon.com/images/I/61nvSnojczL._AC_UF894,1000_QL80_.jpg",182,108.9,988.812,100,EDT,Men,Spicy,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper, Lavender",5,perfumes--addresses,4.4,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BURBERRY,Brit Rhythm Intense,https://i.ebayimg.com/images/g/gqQAAOSwPCBgZ2I7/s-l1600.webp,370,136.65,1240.782,90,EDT,Men,Spicy,"Cashmere Wood,Coumarin,Guaiac Wood,Leather,Sandalwood,Tonka Bean,Vanilla","Amber,Basil,Lavender,Mint,Patchouli",4.6,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BENTLEY,Azure,https://plummour.com/wp-content/uploads/2022/02/Bentley-Azure-by-Bentley-EDT-100ml-1.jpg,387,107,971.56,100,EDT,Men,Citrus,"Cashmere Wood, Tonka Bean, Orcanox","Pimento, Tea Accord, Lavender, Clary Sage",4.6,Cute Shop,4.1,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,VERSACE,Dylan Blue,https://down-th.img.susercontent.com/file/e341116afe9ffb0f95bc76df42aa0fd9,85,20.5,186.14,5,EDT,Men,Citrus,"Frankincense, Musk, Saffron, Tonka Bean","Ambroxan, Black Pepper, Papyrus, Patchouli, Violet Leaves",4.4,Princess of beauty,4.2,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Yves Saint Laurent,La Nuit De L'Homme L'Intense,https://i.notino.com/view/yves-saint-laurent/yslnhim_aedp10_03__2.jpg,583,204,1852.32,100,EDP,Men,Vanilla,"Tonka Bean, Patchouli","Vanilla, Sage",5,Parfume-Stor,4.1,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,GIORGIO ARMANI,Stronger With You,https://s.cdnsbn.com/images/products/xl/26066231005.jpg,415,170,1543.6,100,EDT,Men,Vanilla,"Vanilla, Chestnut, Cedar, Amber, Guaiac Wood","Pineapple, Sage, Melon, Cinnamon, Lavender",4.5,hadayiq baris,3.8,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,HERMES,Terre D'Hermes,https://www.fragranceoutlet.com/cdn/shop/products/Hermes-Terre-D-Hermes-Mens-Eau-de-Toilette-Spray-1.6-Best-Price-Fragrance-Parfume-FragranceOutlet.com-Details.jpg?v=1626963864&width=1946,15,9.55,86.714,2,EDT,Men,Citrus,"Patchouli, Cedar, Vetiver, Benzoin","Pepper, Pelargonium",5,beautiful lady,3.8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PACO RABANNE,Invictus,"https://img.kingpowerclick.com/cdn-cgi/image/format=auto/kingpower-com/image/upload/w_640,h_640/v1626852959/prod/496007-l1.jpg",395,210,1906.8,100,EDT,Men,Citrus,"Guaiac Wood, Patchouli","Ambregris Accord, Grapefruit Zests",4.8,Boutique Wareef,3.8,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,DORALL COLLECTION,Scholar,https://f.nooncdn.com/p/v1531812165/N15808238A_1.jpg?format=avif&width=240,19,9.45,85.806,100,EDT,Men,Floral,"Patchouli, Moss, Amber, Sandalwood, Musk, Woody","Jasmine, Peach, Apple, Green Notes, Lavender, Muguet, Dried Fruits.",5,B.A.G,3.7,14.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Calvin Klein,Eternity,https://image-optimizer-th.production.sephora-asia.net/images/product_images/closeup_1_Product_3614229135145-Calvin-Klein-Eternity-Eau-De-Parfum-For-Men-100ml_422e5e9d96ee41a9a23f827310242cc0b6c34d4c_1686304295.png,131,100,908,100,EDT,Men,Floral,"Sandalwood, Amber, Musk, Vetiver, Brazilian Rosewood","Coriander, Lily, Orange Blossom, Juniper Berries, Basil, Jasmine, Sage, Lily-of-the-valley, Geranium",4,hadayiq baris,3.8,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BURBERRY,Mr. Burberry,https://fimgs.net/mdimg/perfume/375x500.43525.jpg,515,179.95,1633.946,100,EDP,Men,Woody,"Patchouli, Amber, Sandalwood, Vetiver, Benzoin, Cinnamon","Lavender, Cedar, Nutmeg",4.5,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,J.CASANOVA,ICQ,https://m.media-amazon.com/images/I/6188n8DI4FL.__AC_SX300_SY300_QL70_ML2_.jpg,76.3,76.3,692.804,100,EDT,Men,Fresh,"Wood, Cedar, Patchouli, Animal, Sandalwood","Floral, Ylang-Ylang, Jasmin, Cyclamen, Rosewood",5,Parisian Store,3.9,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,TOMMY HILFIGER,Tommy,https://m.media-amazon.com/images/I/51lPNm-kt6L._AC_UL480_FMwebp_QL65_.jpg,340,129,1171.32,100,EDT,Men,Spicy,"Amber, Cactus, Cotton","Cranberry, Rose, Apple",4.4,AMLAQ,3.9,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,RALPH LAUREN,Safari,https://m.media-amazon.com/images/I/617wpQO1hxL._AC_UL480_FMwebp_QL65_.jpg,541,178,1616.24,125,EDT,Men,Woody,"Leather, Sandalwood, Amber, Patchouli, Musk, Oakmoss, Cedar","Cyclamen, carnation, cinnamon, tarragon, jasmine, rose",3.5,Pinch Of Perfum,3.5,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EMPORIO ARMANI,Stronger With You,https://m.media-amazon.com/images/I/71Eegdz3JtL._AC_UL480_FMwebp_QL65_.jpg,415,175.85,1596.718,100,EDT,Men,Floral,"Amber, Cedar, Chestnut, Vanilla","Melon, Pineapple, Sage",4.5,flower,3.8,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,HUGO BOSS,Dark Blue,https://image.makewebcdn.com/makeweb/m_1920x0/2q1fSqVKm/1product/0387.jpg?v=202405291424,159,129,1171.32,75,EDT,Men,Citrus,"Benzoin, Olibanum, Patchouli, Suede","Pelargonium, Cypress, Sage",4.5,Diorworld,3.6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,armani,Stronger With You Intensely,https://m.media-amazon.com/images/I/71Eegdz3JtL._AC_UL480_FMwebp_QL65_.jpg,457,336,3050.88,100,EDP,Men,"Sweet, Aromatic",Amber,Vanilla,4.8,flower,3.9,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PACO RABANNE,1 Million,https://m.media-amazon.com/images/I/61YHLQAz21L._AC_UL480_FMwebp_QL65_.jpg,395,173,1570.84,100,EDT,Men,Woody,"Indian Patchouli, Amber, Woody, Leather","Rose absolute, Musk, cinnamon bark",3.8,Al-Najm,3.7,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Guerlain,Ideal,"https://img.kingpowerclick.com/cdn-cgi/image/format=auto/kingpower-com/image/upload/w_640,h_640/v1721881808/prod/1050067-L1.jpg",560,223,2024.84,100,EDP,Men,Fruity,"Leather, Sandalwood, Tonka Bean","Bulgarian Rose, Cherry, Incense, Vanilla",4.8,Majestueuse,4.8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,GIORGIO ARMANI,Acqua Di Gio,https://m.media-amazon.com/images/I/61KN8Frq8XL._AC_UL480_FMwebp_QL65_.jpg,660,464.9,4221.292,200,EDT,Men,Citrus,"Amber, Oakmoss, Musk, Cedar","Violet, Coriander, Small Coconut, Peach, Rose, Sea Notes, Freesia, Flower Of Love",3.7,Beautiful Live,4.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MONTBLANC,Emblem Absolu,https://m.media-amazon.com/images/I/51RiD+FLNVL._AC_UL480_FMwebp_QL65_.jpg,395,116,1053.28,100,EDT,Men,Spicy,"Patchouli, Vetiver, Moss","Pink Pepper, Lavender, Fruits, Honey",4.7,Modon,3.9,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,LACOSTE,Eau de Lacoste L. 12.12 Noir,https://plummour.com/wp-content/uploads/2021/08/Lacoste-Eau-de-Lacoste-L-12-12-Noir-1.jpg,330,85,771.8,100,EDT,Men,Spicy,"Dark Chocolate, Cashmeran, Coumarin, Patchouli","Basil, Verbena, Lavender",4.8,Al-Najm,3.7,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Calvin Klein,CKIN2U,https://m.media-amazon.com/images/I/51xixTQ7h6L._AC_UL480_FMwebp_QL65_.jpg,148,82.9,752.732,100,EDT,Men,Citrus,"Vetiver, Cedar, White Musk",Cacao Pod,5,AMLAQ,3.9,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,LE CHAMEAU,Atelier Intense,https://lechameauperfumes.co.uk/cdn/shop/files/Atelier-Intense_900x.jpg?v=1723145474,88,71.25,646.95,80,EDT,Men,Arabian,"Vetiver, Amber, Musk, Oakmoss","Spicy, Sandalwood, Ceadarwood, Tonka",5,Emper Perfumes,3.5,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Carrera,Pour Homme,https://m.media-amazon.com/images/I/614qF3MdtAL._AC_UL480_FMwebp_QL65_.jpg,59,43.5,394.98,100,EDT,Men,Woody,"Cedar, Tonka Bean, Musk, Leather, Sandalwood, Oakmoss","Anise, Ginger, Cloves, Jasmine",5,KAYA,4.3,4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Calvin Klein,Euphoria,https://m.media-amazon.com/images/I/61X6Jra1zNL._AC_UL480_FMwebp_QL65_.jpg,289,94.55,858.514,100,EDT,Men,Woody,"Amber, Patchouli, Brazilian Redwood, Suede","Black Basil, Sage, Cedar",4.7,Star.perfume,4.2,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Dunhill,Desire,https://cdn.thebeautrium.com/image-product/B0049305.png,230,84.95,771.346,100,EDT,Men,Fresh,"Vanilla, Musk, Labdanum","Rose, Teakwood, Patchouli",4.2,hadayiq baris,3.8,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Dior,Sauvage,https://m.media-amazon.com/images/I/4140FetAgkL._AC_UL480_FMwebp_QL65_.jpg,1176,240.85,2186.918,100,EDT,Men,Fresh,"Cedar, Labdanum, ambroxan","Geranium, lavender, sichuan, pepper, elemi, pink pepper, Vetiver, patchouli",3.8,ثروة الجمال,3.9,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,TRUSSARDI,My Land,https://m.media-amazon.com/images/I/513wvyyuEuL._AC_UL480_FMwebp_QL65_.jpg,300,164,1489.12,100,EDT,Men,Woody,"Leather, Vetiver, Tonka Bean","Lavender, Violet, Calone",4.5,Beautiful Live,4.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PACO RABANNE,Pour Homme,"https://img.kingpowerclick.com/cdn-cgi/image/format=auto/kingpower-com/image/upload/w_1920,h_1920/v1655347017/prod/976-L2.jpg",226,136.05,1235.334,100,EDT,Men,Woody,"Honey, Amber, Musk, Oakmoss","Tonka Bean, Lavender, Geranium",4.5,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MONTBLANC,Starwalker,https://m.media-amazon.com/images/I/81I5-Pd8XGL._AC_UL480_FMwebp_QL65_.jpg,240,125.55,1139.994,75,EDT,Men,Woody,"Ginger, Fir Resin, Nutmeg, Amber","Sandalwood, White Musk, Cedar",5,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,DORALL COLLECTION,Classic Black,https://m.media-amazon.com/images/I/5199sl-OrwL._AC_UL480_FMwebp_QL65_.jpg,9,8.8,79.904,100,EDT,Men,Fresh,"Chocolate,Cashmere Wood, Patchouli, Tonka Bean","Basil, Verbena , Lavender",4,the beauty,3.9,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,DAVIDOFF,Zino,https://m.media-amazon.com/images/I/71xptACdooL._AC_UL480_FMwebp_QL65_.jpg,116,81.55,740.474,125,EDT,Men,Woody,"Tonka Bean, Sandal, Amber, Cedar, Patchouli, Vanilla","Muguet, Rose, Jasmine, Geranium",3.4,AMLAQ,3.9,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,CARTIER,Pasha de Cartier,https://m.media-amazon.com/images/I/61ufLUdgdWL._AC_UL480_FMwebp_QL65_.jpg,290,185.25,1682.07,100,EDT,Men,Aromatic,"Oakmoss, Sandalwood, Patchouli, Labdanum","Coriander, Brazilian Rosewood",4.3,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Calvin Klein,Euphoria Intense,https://down-th.img.susercontent.com/file/d6cd66fa3259c1c575fbcfcdd44b788d@resize_w450_nl.webp,440,99,898.92,100,EDT,Men,Spicy,"Cashmere Wood, Vanilla, Amber, Sandalwood","Black Basil, Sage, Cedar, Vetiver",4.2,Al-Najm,3.7,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Ferrari,Scuderia Black,https://m.media-amazon.com/images/I/81mXE651D-L._AC_UL480_FMwebp_QL65_.jpg,163,98.5,894.38,125,EDT,Men,Fruity,"Cedar, Amber, Musk, Vanilla","Cardamom, Cinnamon, Rose, Jasmine",4,Beauty Gallery,3.7,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Calvin Klein,Intense Euphoria,https://down-th.img.susercontent.com/file/d6cd66fa3259c1c575fbcfcdd44b788d@resize_w450_nl.webp,290,109.95,998.346,100,EDT,Men,Spicy,"Labdanum, Amber, Patchouli, Agarwood, Myrrh","Black Basil, Sage, Cedar, Vetiver",4.4,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PACO RABANNE,One Million Lucky,https://m.media-amazon.com/images/I/514SsJHW5eL._AC_UL480_FMwebp_QL65_.jpg,435,257.15,2334.922,100,EDT,Men,Woody,"Cedar, patchouli, Amber, Vanilla","Hazelnut, Cedar, Jasmine",4.7,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,HERMES,Terre D' Hermes,https://m.media-amazon.com/images/I/51PM-bcikeL._AC_UL480_FMwebp_QL65_.jpg,474,173,1570.84,100,EDT,Men,Citrus,"Woody, Patchouli, Cedar",geranium,3.9,Boutique Wareef,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Franck Olivier,Oud Touch,https://m.media-amazon.com/images/I/51xGx2nlXsL._AC_UL480_FMwebp_QL65_.jpg,93,93,844.44,100,EDP,Men,Woody,"Amber, Musk, Vanilla","Violet, Patchouli, Rose, Jasmine, Olibanum",5,Faces,3.9,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PACO RABANNE,One Million,https://m.media-amazon.com/images/I/61YHLQAz21L._AC_UL480_FMwebp_QL65_.jpg,426,287.95,2614.586,200,EDT,Men,Woody,"Blonde Leather, Patchouli, Amber","Rose Absolute, Cinnamon Spices",5,noon100 % original genuine product,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,GUESS,Seductive Homme,https://m.media-amazon.com/images/I/618jFXyXmwL._AC_UL480_FMwebp_QL65_.jpg,134,91.75,833.09,100,EDT,Men,Spicy,"Musk, Sandalwood, Patchouli, Amber","Vetiver, Violet Leaf, Orchid",4.5,Star.perfume,3.9,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Givenchy,Pour Homme,"https://static.wixstatic.com/media/b09b56_ccff1cd12c39417fa4aed585079f035a~mv2.png/v1/fill/w_520,h_512,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/b09b56_ccff1cd12c39417fa4aed585079f035a~mv2.png",219,117,1062.36,100,EDT,Men,Spicy,"Labdanum, Ceder","Vetiver, Lavender",4.4,Al-Najm,3.7,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Rasasi,Blue,https://m.media-amazon.com/images/I/51D5BIQ4ozL._AC_UL480_FMwebp_QL65_.jpg,36.95,36.95,335.506,100,EDT,Men,Spicy,"Amber, Woody","Geranium, Rose, Coriander, Pepper, Jasmine",5,hadayiq baris,3.8,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,GIORGIO ARMANI,Eau Pour Homme Reno 2013,https://www.ourshopee.com/ourshopee-img/ourshopee_products/587135854Giorgio-Armani-Eau-Pour-Homme-Reno-2013-EDT-100-ml.jpg,361,186,1688.88,50,EDT,Men,Citrus,"Patchouli, Oakmoss, Sandalwood","Cloves, Lily, Nutmeg",4.7,MOON LIGHT,3.8,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,JAGUAR,Classic Gold,https://m.media-amazon.com/images/I/61IS9klq5nL._AC_UL480_FMwebp_QL65_.jpg,118,79.95,725.946,100,EDT,Men,Woody,"Patchouli,Vanilla,Musk","Orange Blossom,Teak Wood",4.7,Star.perfume,3.9,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Pino Silvestre,Pino Silvester Original,https://m.media-amazon.com/images/I/81n43sAvdkL._AC_UL480_FMwebp_QL65_.jpg,72.5,72.5,658.3,125,EDT,Men,Woody,"Amber, Cedar, Musk, Tonka Bean, Moss","Spicy Notes Of Carnation, Nutmeg, Geranium, Thyme, Fir Tree",5,neo lek,3.5,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Kenneth Cole,Black,https://m.media-amazon.com/images/I/51n2RPS9ZQL._AC_UL480_FMwebp_QL65_.jpg,315,177.9,1615.332,100,EDT,Men,Floral,"Amber, Musk, Violet Leaf, Suede","Nutmeg, Incense, Cedar, Lotus, Exotic Woods",4.5,Alabeer,3.9,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,MONTBLANC,Legend,https://m.media-amazon.com/images/I/61IJbLMmD+L._AC_UL480_FMwebp_QL65_.jpg,445,214.55,1948.114,200,EDT,Men,Spicy,"Sandalwood, Tonka Bean","Coumarin, Oakmoss, Geranium, Rose, Red Apple, Dried Fruits",4.5,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Calvin Klein,Obsession,https://m.media-amazon.com/images/I/61Rp3wxWYBL._AC_UL480_FMwebp_QL65_.jpg,231,120,1089.6,125,EDT,Men,Spicy,"Amber, Sandalwood, Patchouli, Vanilla, Musk","Brazilian Rosewood, Sage, Myrrh, Pine Tree, Nutmeg",3,noon,4.2,98.1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,JAGUAR,Vision II,https://m.media-amazon.com/images/I/51JHVGi0tYL._AC_UL480_FMwebp_QL65_.jpg,141,73.8,670.104,100,EDT,Men,Fruity,"Cedar, Musk, Patchouli, Woody","Geranium, Pepper, Sea Notes",5,Parvant Store,3.5,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,BURBERRY,Brit Splash,https://m.media-amazon.com/images/I/71SRUNBkJrS._AC_UL480_FMwebp_QL65_.jpg,278,194,1761.52,100,EDT,Men,Fresh,"Moss, Musk, Vetiver","Cyclamen, Violet, Water Notes",4.6,Chansles,3.9,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PRADA,Amber Intense,https://fimgs.net/mdimg/perfume/375x500.11240.jpg,324,321.95,2923.306,100,EDP,Men,Spicy,Amber,Vanilla,4.4,Ryhana Perfume,4.2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Marbert,Man Pure,https://m.media-amazon.com/images/I/51ke4UK9eUL._AC_UL480_FMwebp_QL65_.jpg,114,54.7,496.676,125,EDT,Men,Citrus,"Oakmoss, Cedar, Sandalwood, Amber, Musk","Geranium, Jasmine, Lily Of The Valley, Majorjam, Coriander, Nutmeg",4.9,Rayhanti,3.8,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
